3 Phase Voltage in Volts,3 Phase Current in Amps,Poles,Frequency in Hz,Power Factor,Temperature in Celcius,% Load,Angular Velocity in rad/sec,Motor Age in Yrs,Efficiency,Reliability,Life Cycle in Yrs
422.4,7,2,49,0.5,42,114,99,1,85.97,Moderately,6
460.8,12.9,2,49,0.5,23,63,93,3,81.23,Moderately,4
438.8,8.8,2,49,0.5,29,54,105,0,90.37,Strongly,8
478.4,10,3,50,0.7,62,101,117,1,86.97,Moderately,7
475.8,9.5,2,49,0.6,48,69,96,3,81.43,Moderately,4
472,8.9,2,49,0.7,21,93,85,1,85.64,Moderately,6
411.3,12.9,2,50,0.5,67,53,81,2,81.42,Moderately,4
471.7,11.3,2,49,0.8,72,106,112,1,84.45,Moderately,6
440.8,11.8,3,50,0.8,28,90,107,0,89.52,Moderately,8
474.8,10.5,2,50,0.7,38,68,88,3,80.87,Moderately,4
406.4,7.6,3,49,0.5,76,78,90,0,90.69,Strongly,8
403.1,11.4,2,49,0.8,59,77,112,3,80.8,Moderately,4
464.1,12.1,2,49,0.5,14,64,116,3,81.09,Moderately,4
404.3,10.9,2,49,0.7,74,116,106,2,81.66,Moderately,4
423.4,8.6,2,49,0.5,64,92,109,1,86.63,Moderately,7
433.3,7,3,50,0.7,51,114,91,3,82.17,Moderately,4
423.3,7.1,3,50,0.7,37,51,111,0,91.28,Strongly,9
428.2,10.9,3,50,0.6,37,119,84,2,83.21,Moderately,5
420.5,11.1,3,50,0.6,53,107,100,1,86.24,Moderately,6
407.5,12.1,3,49,0.8,78,83,98,3,79.92,Weekly,3
478.3,11.5,3,50,0.7,22,68,80,2,83.01,Moderately,5
458.4,12.1,3,50,0.7,67,106,105,2,83.27,Moderately,5
418,9.5,3,49,0.8,70,97,91,2,82.98,Moderately,5
461.2,7.1,2,49,0.8,52,66,119,2,82.85,Moderately,5
406.9,11,2,50,0.5,19,82,108,0,89.73,Moderately,8
441.2,12.7,2,49,0.6,24,99,83,2,82.53,Moderately,5
476.3,7.6,2,49,0.5,58,71,83,3,81.76,Moderately,4
431.8,9.2,3,49,0.7,30,58,82,0,89.52,Moderately,8
424.4,10.1,2,49,0.7,38,98,99,0,89.03,Moderately,8
441.7,11.7,2,50,0.5,46,62,95,3,81.2,Moderately,4
447.8,7.7,3,50,0.6,18,114,97,3,83.02,Moderately,5
406.7,8.8,2,50,0.6,58,81,103,2,83.17,Moderately,5
425.3,9,3,49,0.6,70,65,100,3,82.15,Moderately,4
433,7.2,3,49,0.6,19,58,89,1,86.42,Moderately,6
448.4,12.3,3,50,0.7,32,51,91,3,81.23,Moderately,4
454.2,8.3,3,50,0.7,40,89,87,3,81.82,Moderately,4
427,7.5,3,50,0.5,60,72,97,0,92.35,Strongly,9
416.2,8.7,2,49,0.6,45,53,108,3,81.7,Moderately,4
425,12.9,2,50,0.6,26,113,108,3,80.1,Moderately,3
408.9,7.7,3,49,0.5,71,96,105,0,91.53,Strongly,9
414,8.7,2,49,0.6,19,50,111,1,86.52,Moderately,7
475.6,9.8,3,49,0.8,75,83,96,0,89.49,Moderately,8
446.9,10.9,3,50,0.5,56,86,82,3,80.64,Moderately,4
425.6,12.8,3,50,0.5,37,69,96,3,81.79,Moderately,4
468.1,9.9,3,49,0.5,79,76,104,0,90.95,Strongly,9
473.5,9.2,2,49,0.7,74,105,100,1,84.7,Moderately,6
