iter	RMSE
0	13.43199801
1	13.2065014
2	12.97105002
3	12.74754554
4	12.52671331
5	12.31548354
6	12.11208591
7	11.92046434
8	11.7157581
9	11.52826272
10	11.33787562
11	11.15954081
12	10.97840239
13	10.80214469
14	10.63243916
15	10.47503994
16	10.3200543
17	10.16738087
18	10.01687385
19	9.863714209
20	9.721134163
21	9.587435781
22	9.457698451
23	9.330120401
24	9.198946161
25	9.068431328
26	8.940614257
27	8.821304712
28	8.710225136
29	8.598539825
30	8.481282238
31	8.370564174
32	8.265332699
33	8.159828713
34	8.067582283
35	7.967286153
36	7.871757051
37	7.779544972
38	7.687812933
39	7.603542883
40	7.517768166
41	7.439600667
42	7.364259006
43	7.280467288
44	7.208960191
45	7.132775919
46	7.056866516
47	6.989386044
48	6.914160115
49	6.843852941
50	6.772349182
51	6.700956011
52	6.633316089
53	6.567556941
54	6.509925427
55	6.447894279
56	6.397980554
57	6.342887452
58	6.277293206
59	6.223351548
60	6.164615364
61	6.114195899
62	6.055571667
63	5.997963937
64	5.94673881
65	5.891098872
66	5.836158153
67	5.786517498
68	5.736864255
69	5.687869705
70	5.640197271
71	5.597583937
72	5.556914062
73	5.511895637
74	5.470504578
75	5.431305984
76	5.390961001
77	5.347932162
78	5.30986219
79	5.269035637
80	5.230328175
81	5.195331549
82	5.162044767
83	5.128025023
84	5.088621032
85	5.054542678
86	5.018117187
87	4.981722541
88	4.948560461
89	4.920847603
90	4.89295644
91	4.866482125
92	4.833893103
93	4.803422739
94	4.78061068
95	4.748264509
96	4.722005435
97	4.691045064
98	4.661024879
99	4.632493802
100	4.604186591
101	4.576539163
102	4.551553048
103	4.524586406
104	4.498638688
105	4.474505713
106	4.450051386
107	4.429707425
108	4.406228919
109	4.385034424
110	4.363337375
111	4.339321793
112	4.316155668
113	4.29679538
114	4.276918552
115	4.253330192
116	4.231633218
117	4.213474732
118	4.192502319
119	4.174495585
120	4.157087209
121	4.140192695
122	4.121726837
123	4.105557296
124	4.087915094
125	4.072678362
