iter	Passed	Remaining
0	3	3067
1	5	2512
2	7	2442
3	10	2707
4	12	2572
5	16	2683
6	19	2735
7	21	2641
8	24	2661
9	27	2678
10	29	2693
11	31	2625
12	33	2575
13	36	2551
14	38	2543
15	41	2563
16	44	2573
17	48	2643
18	50	2601
19	52	2566
20	54	2560
21	57	2543
22	60	2568
23	64	2616
24	66	2604
25	69	2598
26	71	2585
27	73	2568
28	77	2582
29	79	2558
30	81	2536
31	84	2558
32	86	2542
33	89	2529
34	92	2546
35	94	2524
36	97	2538
37	99	2529
38	103	2550
39	105	2540
40	107	2523
41	110	2519
42	112	2512
43	115	2519
44	118	2520
45	121	2511
46	123	2496
47	125	2484
48	127	2467
49	129	2457
50	132	2472
51	134	2457
52	137	2452
53	139	2447
54	142	2440
55	145	2446
56	147	2435
57	149	2435
58	152	2436
59	155	2436
60	158	2433
61	160	2425
62	162	2418
63	164	2407
64	166	2394
65	168	2390
66	171	2393
67	173	2382
68	175	2372
69	179	2381
70	181	2370
71	183	2366
72	185	2355
73	187	2344
74	189	2339
75	192	2337
76	194	2326
77	196	2321
78	199	2321
79	201	2312
80	203	2305
81	205	2296
82	207	2289
83	209	2282
84	211	2277
85	213	2269
86	215	2261
87	218	2261
88	220	2254
89	222	2252
90	224	2245
91	226	2237
92	228	2229
93	230	2225
94	233	2223
95	235	2216
96	238	2224
97	241	2223
98	243	2216
99	248	2232
100	250	2227
101	253	2231
102	255	2225
103	258	2225
104	260	2221
105	262	2215
106	265	2219
107	267	2212
108	270	2207
109	272	2204
110	274	2198
111	277	2202
112	280	2198
113	281	2191
114	284	2186
115	286	2183
116	288	2177
117	291	2179
118	293	2174
119	295	2168
120	298	2167
121	302	2174
122	305	2178
123	307	2174
124	310	2173
125	313	2174
126	315	2168
127	317	2164
128	320	2164
129	322	2158
130	324	2155
131	326	2149
132	328	2144
133	331	2140
134	333	2138
135	335	2132
136	337	2127
137	341	2130
138	343	2128
139	346	2126
140	348	2122
141	350	2119
142	352	2114
143	354	2107
144	356	2101
145	359	2101
146	361	2096
147	363	2091
148	365	2086
149	367	2083
150	369	2077
151	371	2072
152	373	2066
153	375	2061
154	377	2059
155	379	2054
156	381	2049
157	383	2045
158	385	2040
159	387	2035
160	389	2030
161	391	2027
162	393	2022
163	396	2018
164	397	2013
165	399	2008
166	401	2004
167	404	2000
168	405	1996
169	407	1991
170	409	1987
171	411	1983
172	413	1978
173	416	1974
174	417	1970
175	421	1972
176	423	1968
177	425	1964
178	427	1960
179	429	1955
180	431	1953
181	433	1948
182	435	1946
183	437	1941
184	439	1938
185	442	1936
186	445	1936
187	447	1931
188	449	1928
189	451	1924
190	453	1921
191	456	1919
192	458	1915
193	460	1911
194	462	1907
195	465	1909
196	467	1906
197	469	1902
198	471	1899
199	474	1896
200	476	1894
201	478	1892
202	481	1892
203	484	1891
204	486	1887
205	488	1884
206	490	1880
207	493	1877
208	495	1874
209	497	1870
210	499	1868
211	502	1868
212	506	1871
213	509	1870
214	512	1872
215	514	1869
216	517	1866
217	519	1863
218	521	1860
219	523	1856
220	526	1854
221	527	1850
222	529	1846
223	532	1843
224	534	1840
225	536	1836
226	538	1833
227	540	1829
228	542	1827
229	547	1832
230	550	1834
231	553	1830
232	555	1827
233	557	1824
234	561	1827
235	564	1826
236	566	1822
237	568	1821
238	571	1819
239	574	1818
240	577	1818
241	579	1816
242	581	1812
243	584	1809
244	586	1808
245	588	1804
246	590	1801
247	592	1797
248	594	1794
249	597	1791
250	599	1788
251	601	1784
252	603	1781
253	605	1777
254	607	1776
255	610	1773
256	612	1770
257	614	1766
258	616	1763
259	618	1760
260	620	1756
261	622	1753
262	625	1751
263	627	1748
264	629	1745
265	631	1742
266	633	1738
267	635	1736
268	637	1732
269	640	1731
270	642	1728
271	645	1728
272	647	1725
273	650	1722
274	652	1718
275	654	1715
276	656	1712
277	657	1708
278	659	1705
279	661	1702
280	664	1699
281	666	1695
282	668	1694
283	670	1690
284	672	1687
285	674	1684
286	677	1681
287	678	1678
288	680	1675
289	683	1672
290	684	1668
291	687	1666
292	689	1663
293	691	1660
294	693	1657
295	695	1654
296	698	1652
297	700	1649
298	703	1648
299	705	1645
300	707	1642
301	708	1638
302	711	1636
303	713	1634
304	716	1632
305	718	1629
306	721	1627
307	723	1624
308	725	1622
309	727	1619
310	729	1617
311	733	1618
312	736	1615
313	738	1613
314	740	1611
315	742	1607
316	745	1607
317	747	1604
318	750	1601
319	752	1599
320	755	1597
321	757	1595
322	759	1592
323	761	1589
324	763	1586
325	766	1584
326	768	1581
327	770	1578
328	772	1575
329	774	1572
330	776	1568
331	778	1565
332	780	1562
333	782	1559
334	783	1556
335	785	1553
336	788	1550
337	789	1547
338	792	1544
339	793	1541
340	796	1538
341	798	1535
342	800	1532
343	802	1530
344	804	1528
345	806	1525
346	808	1522
347	810	1519
348	812	1516
349	814	1513
350	817	1510
351	818	1507
352	821	1505
353	823	1502
354	824	1498
355	826	1495
356	828	1492
357	830	1489
358	832	1486
359	834	1483
360	836	1480
361	838	1477
362	839	1473
363	841	1470
364	843	1467
365	845	1464
366	847	1462
367	850	1460
368	852	1457
369	854	1454
370	856	1451
371	858	1449
372	860	1446
373	862	1443
374	864	1440
375	866	1437
376	868	1435
377	870	1432
378	872	1429
379	874	1427
380	876	1424
381	880	1424
382	882	1421
383	885	1420
384	888	1418
385	890	1415
386	892	1413
387	894	1410
388	896	1408
389	899	1406
390	901	1403
391	903	1401
392	907	1401
393	909	1398
394	912	1396
395	914	1394
396	916	1391
397	918	1389
398	920	1386
399	923	1384
400	925	1382
401	927	1379
402	929	1376
403	931	1374
404	933	1371
405	935	1369
406	938	1366
407	940	1364
408	942	1361
409	945	1360
410	947	1357
411	949	1354
412	951	1352
413	953	1349
414	955	1347
415	958	1345
416	960	1342
417	962	1340
418	965	1338
419	967	1335
420	969	1333
421	971	1330
422	973	1328
423	975	1325
424	977	1322
425	979	1320
426	981	1317
427	983	1314
428	986	1313
429	988	1310
430	990	1307
431	993	1305
432	995	1303
433	997	1300
434	999	1298
435	1002	1296
436	1005	1295
437	1007	1292
438	1009	1290
439	1011	1287
440	1014	1285
441	1016	1282
442	1018	1280
443	1020	1278
444	1023	1276
445	1025	1274
446	1027	1271
447	1029	1268
448	1032	1266
449	1034	1264
450	1036	1261
451	1038	1259
452	1040	1256
453	1043	1254
454	1046	1252
455	1048	1251
456	1050	1248
457	1053	1246
458	1055	1243
459	1057	1241
460	1060	1239
461	1062	1236
462	1064	1234
463	1066	1231
464	1069	1230
465	1071	1227
466	1073	1225
467	1075	1222
468	1077	1220
469	1079	1217
470	1082	1215
471	1084	1213
472	1086	1210
473	1088	1208
474	1091	1205
475	1093	1203
476	1095	1201
477	1098	1199
478	1100	1197
479	1103	1195
480	1105	1192
481	1107	1190
482	1110	1188
483	1112	1185
484	1114	1183
485	1116	1180
486	1118	1177
487	1120	1175
488	1122	1172
489	1124	1170
490	1126	1167
491	1128	1165
492	1130	1163
493	1132	1160
494	1135	1157
495	1137	1155
496	1141	1155
497	1143	1152
498	1145	1150
499	1148	1148
500	1150	1145
501	1152	1143
502	1156	1142
503	1158	1139
504	1160	1137
505	1163	1136
506	1165	1133
507	1167	1131
508	1170	1128
509	1172	1126
510	1174	1124
511	1177	1121
512	1180	1120
513	1182	1117
514	1184	1115
515	1186	1113
516	1189	1110
517	1190	1108
518	1193	1106
519	1195	1103
520	1198	1102
521	1202	1101
522	1205	1099
523	1207	1096
524	1209	1094
525	1211	1091
526	1213	1089
527	1216	1087
528	1218	1085
529	1221	1082
530	1223	1080
531	1224	1077
532	1227	1075
533	1228	1072
534	1230	1069
535	1233	1067
536	1235	1065
537	1237	1062
538	1242	1062
539	1244	1060
540	1247	1058
541	1249	1055
542	1252	1053
543	1254	1051
544	1256	1048
545	1258	1046
546	1260	1043
547	1262	1041
548	1265	1039
549	1269	1038
550	1272	1036
551	1274	1034
552	1276	1032
553	1278	1029
554	1281	1027
555	1284	1026
556	1287	1023
557	1290	1022
558	1292	1020
559	1295	1017
560	1297	1015
561	1299	1012
562	1305	1013
563	1308	1011
564	1310	1009
565	1312	1006
566	1315	1004
567	1317	1002
568	1320	999
569	1322	997
570	1325	996
571	1327	993
572	1330	991
573	1332	988
574	1335	987
575	1337	984
576	1340	982
577	1343	980
578	1345	978
579	1347	975
580	1349	973
581	1351	970
582	1353	968
583	1356	966
584	1358	963
585	1360	961
586	1364	960
587	1366	957
588	1369	955
589	1371	952
590	1374	950
591	1376	948
592	1378	946
593	1380	943
594	1383	941
595	1386	939
596	1388	937
597	1390	934
598	1392	932
599	1394	929
600	1397	927
601	1399	925
602	1402	923
603	1405	921
604	1407	918
605	1409	916
606	1412	914
607	1414	911
608	1416	909
609	1418	907
610	1420	904
611	1423	902
612	1425	899
613	1427	897
614	1429	895
615	1431	892
616	1433	890
617	1436	887
618	1437	885
619	1440	882
620	1442	880
621	1444	877
622	1447	875
623	1449	873
624	1451	870
625	1453	868
626	1455	866
627	1457	863
628	1459	861
629	1461	858
630	1463	856
631	1466	853
632	1468	851
633	1470	849
634	1472	846
635	1474	844
636	1477	841
637	1480	839
638	1482	837
639	1484	834
640	1486	832
641	1488	830
642	1491	827
643	1493	825
644	1495	823
645	1499	821
646	1501	819
647	1504	817
648	1508	815
649	1510	813
650	1512	810
651	1514	808
652	1516	805
653	1518	803
654	1520	801
655	1523	798
656	1525	796
657	1527	793
658	1529	791
659	1531	788
660	1533	786
661	1535	784
662	1537	781
663	1539	779
664	1541	776
665	1543	774
666	1546	771
667	1547	769
668	1549	766
669	1552	764
670	1554	762
671	1556	759
672	1558	757
673	1560	754
674	1562	752
675	1564	749
676	1566	747
677	1568	744
678	1570	742
679	1573	740
680	1576	738
681	1578	736
682	1581	734
683	1583	731
684	1585	729
685	1588	727
686	1591	725
687	1595	723
688	1597	721
689	1600	719
690	1602	716
691	1605	714
692	1607	712
693	1609	709
694	1612	707
695	1616	706
696	1619	704
697	1621	701
698	1624	699
699	1627	697
700	1629	695
701	1632	693
702	1638	692
703	1640	689
704	1642	687
705	1645	685
706	1648	683
707	1652	681
708	1655	679
709	1661	678
710	1667	677
711	1669	675
712	1671	672
713	1675	671
714	1677	668
715	1681	666
716	1683	664
717	1687	662
718	1690	660
719	1693	658
720	1698	657
721	1700	654
722	1702	652
723	1705	650
724	1708	648
725	1710	645
726	1713	643
727	1716	641
728	1718	638
729	1720	636
730	1723	634
731	1725	631
732	1727	629
733	1729	626
734	1732	624
735	1735	622
736	1737	620
737	1740	618
738	1743	615
739	1746	613
740	1748	611
741	1751	608
742	1754	606
