,Voltage,Omega,poles,Temperature,Current,powerFactor,Frequency,efficiency
0,442.9,93.0,2,331,7.1,0.8,307.72,59.22
1,431.7,92.9,2,319,9.4,0.5,314.0,68.59
2,443.3,81.7,2,315,7.7,0.8,314.0,52.21
3,459.3,113.2,2,324,12.9,0.7,314.0,57.1
4,406.9,92.7,2,322,8.7,0.7,314.0,51.15
5,445.2,99.6,2,324,12.0,0.6,307.72,54.8
6,421.4,105.1,3,317,11.7,0.6,307.72,86.4
7,479.6,115.5,3,321,10.7,0.8,314.0,91.4
8,407.7,104.4,2,317,8.2,0.5,314.0,90.75
9,478.8,93.6,2,322,10.1,0.5,314.0,74.03
10,458.0,116.8,2,333,11.4,0.7,314.0,57.25
11,444.0,96.8,3,334,9.6,0.8,314.0,68.43
12,434.5,94.2,2,319,10.7,0.6,307.72,56.16
13,477.0,111.1,2,318,12.0,0.8,314.0,53.33
14,445.9,98.7,3,330,11.2,0.6,307.72,80.45
15,449.3,100.7,2,334,7.9,0.8,314.0,64.29
16,442.8,112.6,2,330,9.3,0.7,314.0,71.14
17,446.9,96.3,3,318,11.3,0.6,307.72,82.97
18,417.7,108.6,2,332,7.2,0.7,314.0,77.19
19,405.2,101.8,2,316,9.5,0.7,314.0,51.5
20,456.5,99.7,2,321,12.1,0.7,307.72,50.28
21,442.4,102.8,2,326,10.9,0.6,314.0,55.6
22,429.7,94.5,2,322,11.6,0.5,307.72,56.18
23,477.3,88.4,3,333,12.6,0.6,307.72,69.78
24,471.2,107.6,3,316,10.0,0.8,307.72,88.2
25,445.2,94.3,3,330,9.6,0.7,307.72,77.83
26,466.2,87.8,3,329,11.8,0.5,307.72,84.3
27,476.4,106.1,2,334,8.2,0.8,307.72,71.65
28,413.1,96.8,3,324,11.6,0.7,314.0,64.98
29,417.8,92.9,3,331,8.5,0.6,307.72,98.33
30,444.5,107.8,3,323,8.8,0.8,314.0,94.97
31,432.5,116.7,3,328,10.4,0.7,307.72,94.59
32,460.4,92.2,3,317,9.8,0.7,314.0,83.21
33,476.4,94.5,3,330,11.9,0.5,307.72,97.78
34,407.3,102.8,2,325,12.0,0.6,314.0,53.83
35,476.0,87.0,2,331,9.8,0.6,307.72,52.84
36,433.0,97.9,2,334,9.9,0.5,314.0,72.19
37,443.6,81.6,3,327,10.8,0.5,307.72,78.59
38,465.2,82.5,2,320,7.2,0.5,307.72,90.75
39,401.8,107.1,3,325,9.8,0.7,307.72,83.59
40,471.1,98.0,3,324,8.0,0.8,314.0,89.77
41,433.5,119.1,2,324,10.5,0.7,307.72,69.97
42,438.1,111.2,2,329,11.4,0.5,314.0,78.86
43,412.8,83.8,3,322,9.0,0.6,307.72,77.96
44,430.8,82.9,2,330,7.2,0.6,314.0,66.04
45,427.0,99.4,3,329,12.3,0.7,314.0,61.84
46,416.8,116.0,2,320,9.9,0.8,307.72,59.7
47,438.5,105.2,2,317,10.1,0.6,314.0,70.0
48,452.9,96.3,2,322,9.9,0.7,307.72,59.47
49,427.5,107.9,2,316,9.4,0.7,314.0,65.58
50,435.0,81.0,2,334,10.3,0.5,314.0,51.75
51,411.6,113.2,2,322,11.1,0.6,314.0,61.92
52,439.8,113.0,2,315,11.0,0.8,314.0,53.52
53,477.1,90.5,3,333,12.7,0.6,314.0,64.52
54,415.9,89.5,3,325,12.9,0.5,314.0,67.19
55,464.6,81.2,3,324,10.0,0.8,307.72,60.83
56,413.4,89.0,2,324,11.2,0.5,314.0,56.07
57,407.9,88.4,3,326,7.1,0.7,314.0,92.78
58,409.6,107.3,3,327,9.4,0.7,314.0,83.94
59,475.5,110.4,2,322,11.0,0.8,314.0,57.6
60,466.3,93.1,2,329,8.2,0.8,307.72,55.23
61,442.6,100.6,2,327,9.0,0.6,307.72,74.05
62,436.5,93.8,2,322,9.5,0.5,307.72,72.08
63,456.1,92.7,2,321,7.9,0.7,314.0,66.58
64,469.9,96.4,3,325,12.7,0.5,314.0,92.78
65,442.3,80.6,3,326,9.6,0.7,314.0,65.75
66,418.5,113.7,3,320,12.1,0.7,314.0,81.88
67,413.1,83.3,3,334,9.6,0.7,307.72,59.48
68,462.4,93.4,2,317,7.2,0.8,307.72,62.22
69,459.3,118.9,2,328,10.3,0.8,307.72,59.21
70,461.8,114.0,2,319,11.6,0.8,307.72,53.08
71,420.6,82.6,2,332,8.9,0.5,307.72,63.67
72,426.9,95.6,3,333,7.1,0.8,307.72,93.55
73,472.1,102.5,3,324,8.6,0.8,307.72,92.2
74,433.8,86.7,3,319,11.6,0.5,314.0,82.49
75,436.2,104.2,3,315,12.6,0.6,307.72,85.4
76,432.3,112.2,3,329,8.6,0.8,314.0,93.57
77,462.8,111.5,2,332,10.2,0.7,314.0,65.5
78,472.4,105.2,3,330,10.1,0.7,307.72,97.66
79,414.2,104.5,3,321,9.8,0.8,307.72,77.17
80,425.7,116.4,3,331,11.4,0.7,307.72,84.25
81,433.2,96.3,2,319,7.4,0.5,314.0,99.41
82,473.5,109.6,3,333,12.6,0.8,314.0,66.07
83,437.1,99.7,2,331,7.5,0.5,307.72,98.27
84,479.7,86.9,2,315,8.1,0.6,307.72,71.99
85,421.6,115.3,2,321,9.3,0.7,314.0,68.24
86,413.7,89.4,3,322,12.7,0.6,307.72,59.14
87,426.3,108.6,2,325,10.8,0.5,314.0,76.06
88,442.5,102.9,3,331,11.7,0.7,307.72,71.81
89,462.0,107.3,3,331,12.3,0.6,314.0,83.36
90,465.2,106.0,2,331,11.0,0.8,307.72,51.35
91,471.2,85.1,3,324,8.0,0.7,307.72,84.35
92,466.6,97.3,3,317,10.6,0.7,307.72,78.56
93,462.8,112.6,3,332,10.6,0.8,314.0,82.71
94,461.7,118.8,2,329,11.6,0.8,307.72,60.06
95,451.9,81.6,3,326,9.8,0.6,314.0,74.5
96,450.3,89.2,2,325,7.2,0.6,307.72,79.55
97,424.3,114.2,2,329,9.6,0.5,314.0,90.14
98,463.2,100.3,2,329,10.9,0.6,307.72,59.46
99,413.0,110.0,2,333,7.3,0.7,307.72,80.02
100,470.6,88.5,2,316,10.9,0.5,307.72,65.19
101,472.0,118.7,2,327,11.2,0.6,314.0,77.33
102,430.8,109.9,2,327,7.3,0.7,307.72,83.94
103,442.0,88.0,2,320,9.5,0.6,314.0,56.61
104,414.9,93.0,3,328,9.1,0.7,314.0,72.21
105,430.4,86.4,3,334,9.3,0.5,307.72,92.37
106,447.8,97.6,2,320,7.6,0.7,314.0,73.18
107,420.1,118.8,2,333,12.9,0.7,314.0,51.02
108,411.9,104.7,3,324,12.8,0.7,307.72,62.86
109,405.5,115.9,3,321,8.7,0.8,314.0,92.57
110,418.6,100.2,3,329,7.7,0.8,314.0,89.12
111,426.8,100.9,2,326,8.0,0.8,307.72,62.88
112,430.9,109.6,2,326,10.3,0.5,314.0,77.57
113,433.3,98.3,3,332,12.7,0.7,314.0,62.21
114,417.4,104.7,2,320,7.4,0.8,314.0,70.13
115,446.1,106.2,2,316,11.0,0.5,314.0,80.71
116,419.7,113.6,3,328,11.5,0.6,307.72,98.67
117,410.3,119.6,2,318,8.4,0.8,314.0,74.87
118,471.6,93.6,3,319,8.5,0.8,307.72,83.53
119,428.4,119.0,3,323,11.6,0.8,307.72,83.11
120,463.8,115.7,2,326,10.0,0.6,314.0,83.01
121,459.3,116.7,2,324,9.6,0.7,307.72,72.33
122,470.9,117.3,2,317,8.3,0.8,307.72,82.69
123,440.2,102.2,2,328,8.2,0.8,314.0,54.23
124,440.0,82.3,3,320,9.8,0.8,314.0,58.07
125,439.6,110.5,2,317,8.2,0.7,314.0,75.71
126,473.5,114.8,3,319,11.7,0.7,314.0,93.0
127,475.8,109.0,3,328,12.2,0.7,314.0,82.28
128,407.4,114.5,2,322,9.4,0.6,314.0,74.25
129,409.4,96.8,3,317,7.3,0.8,307.72,94.34
130,461.8,112.1,2,323,11.1,0.7,307.72,66.27
131,435.8,88.8,3,315,12.9,0.5,314.0,74.12
132,434.5,106.8,3,326,11.1,0.6,307.72,90.74
133,439.6,113.2,3,328,12.3,0.6,307.72,99.12
134,458.3,85.4,2,329,9.4,0.5,307.72,67.31
135,444.4,111.1,3,323,11.6,0.7,314.0,85.5
136,441.7,85.5,3,319,10.1,0.8,314.0,53.71
137,452.6,101.2,2,320,10.0,0.7,314.0,58.65
138,463.4,104.2,2,326,11.4,0.8,314.0,50.45
139,453.2,114.2,3,323,11.5,0.7,307.72,91.57
140,442.3,94.1,3,315,11.2,0.6,314.0,82.47
141,405.9,101.9,3,324,10.6,0.8,307.72,62.83
142,426.1,92.7,2,318,7.5,0.8,307.72,61.77
143,461.3,94.2,2,323,8.9,0.8,307.72,50.1
144,435.5,98.7,3,320,11.6,0.8,307.72,57.32
145,443.3,94.8,3,333,12.2,0.6,314.0,73.79
146,431.0,114.7,2,329,9.1,0.8,314.0,65.14
147,469.3,82.6,3,320,12.6,0.7,314.0,52.42
148,404.7,106.7,2,333,10.5,0.5,314.0,70.49
149,402.5,103.9,3,321,8.0,0.7,314.0,97.66
